DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
Sea caves,B.2 Loss|C. Geome|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,wave erosion|coastal areas|Sea caves|exposed bedrock|caves,Sea caves are caves that form by wave erosion in coastal areas that contain exposed bedrock.,,,,,,are,caves,,form by wave erosion,,,in coastal areas that contain exposed bedrock,,,,,,,,,,form by,,,,,,,,,,,,,
flank margin caves,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|D.3 Property|A.2 Underground landform,flank margin caves|oval rooms|freshwater lens|thinning margin|chambers,"The flank margin caves are a series of oval rooms from pore size up to large chambers, which tend to be extensive in the horizontal direction, but limited in the vertical direction, a result of developing in the thinning margin of the freshwater lens (Fig.",,,,,,are,series of oval rooms,,result of developing in the thinning margin of the freshwater lens,series of oval rooms,,,,,"extensive in the horizontal direction , but limited in the vertical direction|from pore size up to large chambers",,,,,,,a result of,,,,,,,,,,,up to|from,,
Blue holes,C. Geome|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,Earth ’ s surface|Blue holes|subsurface voids|cave passages|tidally-influenced waters,"Blue holes are defined as subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally-influenced waters of fresh, marine, or mixed chemistry; extend below sea level for a majority of their depth; and may provide access to submerged cave passages.",provide,,,"tidally-influenced waters of fresh , marine , or mixed chemistry",,are defined as,subsurface voids,,,open to the Earth ’ s surface|subsurface voids,provide access to submerged cave passages,extend below sea level for a majority of their depth|developed in carbonate banks and islands,,,,,,,,,,,,contain,,,,developed in|extend,,,,,,,
Limonite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,iron oxides|hydroxides|Limonite,Limonite is a generic term that refers to both mineral and amorphous forms of iron oxides and hydroxides.,,,mineral and amorphous forms of iron oxides and hydroxides,,,is a generic term that refers to,,,,,,,,,,,,,amorphous forms of iron oxides and hydroxides|mineral,,,,,,,,,,,,,,,,
sandstone,D.1 Abiotic|D.1 Abiotic|B.2 Loss|D.1 Abiotic,quartz sand|sandstone|erosion|rock,The sandstone is a rock made of cemented quartz sand that is very resistant to erosion.,,,made of cemented quartz sand,,,is a,rock,resistant to erosion,,,,,,,,,,,,,,,made of,,,,,,,,,,,,
Karst forms,B.2 Loss|B.4 Transformation|A. Landform|D.1 Abiotic,solutional processes|solutional processes|Karst forms|carbonate rocks,Karst forms are surface and subsurface karst features formed mainly by solutional processes of carbonate rocks of the region which are extremely well folded and fractured due to tectonic events. solutional processes,,,,,,are,karst features,,formed mainly by solutional processes of carbonate rocks,,,surface and subsurface,,,,,,,,,,formed mainly by,,,,,,,,,,,,,
Collapse dolines,D.3.1 Geolocation|A.1 Surface landform|A.2 Underground landform,Dinaric karst|Collapse dolines|caves,Collapse dolines are common features of the Dinaric karst and are especially numerous above known large caves.,,,,,,are,features,,,,,above known large caves,common features of the Dinaric karst,,,,,,,,,,,,,,,above,,,,,,,
Karst poljes,B.1 Movement|B.2 Loss|A.1 Surface landform|A.1 Surface landform,karst water drainage|solutional processes|Karst poljes|depressions,"Karst poljes are large karst depressions with flat bottoms, which are the result of solutional processes and karst water drainage.",,,,,,are,karst depressions,,result of solutional processes and karst water drainage,depressions with flat bottoms,,,,,large,,,,,,,the result of,,,,with,,,,,,,,,
dry valleys,D.1 Abiotic|A.1 Surface landform|C. Geome,old river streams|dry valleys|karst,"Remnants of old river streams are dry valleys, which lack an active watercourse over all or parts of their length for at least part of the year, because water is lost in karst or is in a much lower position.",,,,,,are,Remnants of old river streams,,because water is lost in karst or is in a much lower position,lack an active watercourse over all or parts of their length,,,,,,,,for at least part of the year,,,,because,,,,,,,,,,,,,for
breccia,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,sediment|breccia|rock,breccia - angular fragments of rock and / or fossils cemented together or with a matrix of finer sediment. of rock,,,and / or fossils cemented together or with a matrix of finer sediment of rock,,,,fragments of rock and / or fossils cemented together,,,angular fragments of rock,,,,,,,,,,,,,fragments of,,,,,,,,,,,,
canopy,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,canopy|flowstone|speleothem|stalactites,canopy - a compound speleothem consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge.,,,,,,,speleothem,,,consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge,,,,,,,,,,,,,,,,consisting of a,,,,,,,,,
canyon,C. Geome|A.1 Surface landform|C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,karst area|canyon|karst|valley|river|rocks,canyon - a deep valley with steep to vertical walls; in karst frequently formed by a river rising on impervious rocks outside the karst area.,,,,,,,valley,,frequently formed by a river rising on impervious rocks outside the karst area,deep valley with steep to vertical walls,,,,,,,,,,,,formed by a,,,,,,,,,,,,,
canyon,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave passage|water|canyon|roof|cave,"canyon - a deep, elongated cavity cut by running water in the roof or floor of a cave or forming a cave passage.",,,,,,,cavity,,cut by running water in the roof or floor of a cave,"deep , elongated cavity",forming a cave passage,,,,,,,,,,,cut by,,,,,forming a,,,,,,,,
cave,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,rock|cavity|cave|sediment,"cave - a natural cavity in rock large enough to be entered by man. it may be water-filled. if it becomes full of ice or sediment and is impenetrable, the term applies but will need qualification.",,,in rock,may be water-filled,,,cavity,,,,,,,,large enough to be entered by man,,,,,,,,in,,,,,,,,,,large enough,,
cave blister,A.2 Underground landform|D.1 Abiotic,cave blister|calcite,cave blister - an almost perfect hemisphere of egg-shell calcite.,,,of egg-shell calcite,,,,egg-shell calcite,,,almost perfect hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,
cave coral,A.2 Underground landform|A.2 Underground landform,cave coral|speleothems,"cave coral - very small speleothems consisting of short stalks with bulbous ends, usually occurring in numbers in patches.",,,,,,,speleothems,,,consisting of short stalks with bulbous ends|usually occurring in numbers in patches,,,,,very small,,,,,,,,,,,consisting of,,,,,,,,,
cave earth,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,cave earth|sand|cave|humus,"cave earth - clay, silt, fine sand and / or humus deposited in a cave.",,,,"clay , silt , fine sand and / or humus",,,,,,,,in a cave,,,,,,,,,,,,,,,,,,,,,,,
cave ecology,D.2 Biotic|E.2 Method|D.3 Property|D.3 Property|B. Process|E.2 Method,cave organisms|cave ecology|climatic influences|energy|interaction|study,"cave ecology - the study of the interaction between cave organisms and their environment, e.g., energy input from surface, climatic influences.",,,,,,,study,,,,,,,,,,,,,the interaction between cave organisms and their environment|energy input from surface|climatic influences,,,,,,,,,,,,,,study of the interaction between,
cave fill,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|B. Process|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,cave fill|bedrock floor|cave|block|sand|day|silt|gravel,"cave fill - transported materials such as silt, day, sand and gravel which cover the bedrock floor or partially or wholly block some part of a cave.",,,"transported materials such as silt , day , sand and gravel",,,,materials,,,,,cover the bedrock floor,,partially or wholly block some part of a cave,,,,,,,,,,,,,,,,,,,,,
cave pearl,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|B.1 Movement|D.1 Abiotic,cave pearl|hollows|speleothem|drips|water,"cave pearl - a smooth, polished and rounded speleothem found in shallow hollows into which water drips.",,,,,,,speleothem,,,polished|smooth|rounded,,found in shallow hollows into which water drips,,,,,,,,,,,,,,,,found in,,,,,,,
cave spring,A.3 Hydrological form|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,cave spring|cave|sediment|rock,cave spring - a natural flow of water from rock or sediment inside a cave.,,,from rock or sediment,,,,flow of water,,,,,inside a cave,,,,,,,,,,,,,,,,inside a,,,,,,,
cave system,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,cave system|passages|caves|chambers|passages,cave system - a collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.,,,,extensive complex of chambers and passages|caves interconnected by enterable passages|linked hydrologically,,,collection of caves,,,,,,,,,,,,,,,,,with an extensive complex of,,,,,,,,,,,
cavern,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cavern|chamber|cave,cavern - a very large chamber within a cave.,,,,,,,chamber,,,,,within a cave,,,very large,,,,,,,,,,,,,within a,,,,,,,
cenote,A.1 Surface landform|A.1 Surface landform,doline|cenote,"cenote - a partly water-tilled, wall-sided doline.",,,,,,,doline,water-tilled,,wall-sided,,,,,,,,,,,,,,,,,,,,,,,,,
ceiling tube,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,half tube|ceiling tube|cave,ceiling tube: A half tube remaining in the ceiling of a cave.,,,,,,,tube,,,,,remaining in the ceiling of a cave,,,,,,,,,,,,,,,,in the|of a,,,,,,,
cenote,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3.1 Geolocation|D.1 Abiotic|A.1 Surface landform,cave roof|water tabl|well|Yucatan|collapse|cenote,cenote: Steep-walled natural well that extends below the water tabl?; generally caused by collapse of a cave roof. Term used only for features in Yucatan. See also natural well.,,,,,,,well,,caused by collapse of a cave roof|natural,Steep-walled,,extends below the water tabl,in Yucatan,,,,,,,,,caused by,,,,,,extends below,,,,,,,
chalk,D.2 Biotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,floating microorganisms|calcite|chalk|limestone,"chalk: Soft poorly indurated limestone, generally light in color; commonly composed of the tests of floating microorganisms in a matrix of verv finely crystalline calcite.",,,commonly composed of the tests of floating microorganisms,,,,limestone,generally light in color,,Soft poorly indurated,,in a matrix of verv finely crystalline calcite,,,,,,,,,generally,,composed of,,,,,in a,,,,,,,
chamber,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,cave system|cavity|chamber|cave,chamber: The largest order of cavity in a cave or cave system; it has considerable length and breadth but not necessarily great height.,,,,,,,cavity,,,,,in a cave or cave system,,,considerable length and breadth but not necessarily great height|The largest,,,,,,,,,,,,,in a,,,,,,,
chasm,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,earth's surface|gorge|canyon|abyss|chasm,"chasm: A deep, fairly narrow breach in the earth's surface; an abyss; a gorge; a deep canyon.",,,,,,,breach,,,fairly narrow|deep,,in the earth's surface,,,,,,,,,,,,,,,,in the,,,,,,,
chimney,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,dome pit|aven|chimney|cave|shaft,"chimney: A narrow vertical shaft in the roof of a cave, generally smaller than an aven; a dome pit.",,,,,,,shaft,,,A narrow vertical shaft,,in the roof of a cave,,,generally smaller than an aven,,,,,,,,,,,,,in the,,,,,smaller than,,
chockstone,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave passage|rock|chockstone,chockstone: A rock wedged between the walls of a cave passage.,,,,,,,rock,,,,,wedged between the walls of a cave passage,,,,,,,,,,,,,,,,,,,,,,,
choke,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,cave fill|Rock debris|choke|passage,choke: Rock debris or cave fill completely blocking a passage.,,,,,Rock debris or cave fill,,debris,,,,completely blocking a passage,,,,,,,,,,,,,,,,completely blocking a,,,,,,,,
chute,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,cave|trough|channel|chute,chute: An inclined channel or trough in a cave.,,,,,,,channel|trough,,,inclined channel or trough,,in a cave,,,,,,,,,,,,,,,,in a,,,,,,,
clay fill,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,wet clay|clay fill|cave passage|Dry,clay fill: Dry or wet clay that fills a cave passage.,,,,,Dry or wet clay,,clay,,,,that fills a cave passage,,,,,,,,,,,,,,,,fills a,,,,,,,,
clay filling,B.3 Addition|B.2 Loss|D.3 Property|B. Process|A.2 Underground landform,deposition of flowstone|phreatic solution|time interval|clay filling|cave,"clay filling: According to Bretz, time interval between end of phreatic solution of a cave and beginning of deposition of flowstone.",,,,,,,time interval,,,,,,,,,,,time interval between end of phreatic solution of a cave and beginning of deposition of flowstone,,,,,,,,,,,,,,,,,time interval
Flachkarren,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,clint|Flachkarren|bedding|limestone|pavement,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren.",,,,,Slabs of limestone,,Slabs,,,"Widened joints , or grikes , isolate individual clints",forming a pavement,parallel to the bedding,,,,,,,,,,,,,,,forming a,,,,,,,,
clint,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,clint|Flachkarren|bedding|limestone|pavement,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren.",,,,,Slabs of limestone,,Slabs,,,"Widened joints , or grikes , isolate individual clints",forming a pavement,parallel to the bedding,,,,,,,,,,,,,,,forming a,,,,,,,,
